Name,STATE,Sex,Event,Age,Division,BodyweightLBS,WeightClassLBS,Squat1Kg,SquatKg,Squat3Kg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,TotalKg,,,,,
Jay Petersen,NE,M,SBD,,Open,197,198,210,,215,-217.5,130,,137.5,-142.5,352.5,267.5,,277.5,282.5,635,1399.9,,,,
Angela Hobbs,NE,F,SBD,,Open,196,198,137.5,,145,150,75,,80,-85,230,160,,172.5,185,415,914.9,,,,
Don McReynolds,NE,M,SBD,,Masters 45-49,346.5,shw,150,,-165,172.5,147,,160,-182.5,332.5,265,,280,295,627.5,1383.4,,,,
Marni Frandson,NE,F,B,,Open,35-39,105,X,XX,,XXX,35,40,,45,45,X,XX,,XXX,45,99.2,,,,
Rachael Johnson,NE,F,B,,Open,148,X,XX,XXX,,62.5,67.5,72.5,,8,72.5,X,XX,,XXX,72.5,159.8,,,,
Viet Tran,NE,M,B,,Masters 40-44,143.5,148,X,XX,,XXX,152.5,157.5,,160,-162.5,160,X,,XX,XXX,160,352.7,,,
Pat Baird,NE,M,B,,Masters 45-49,177,181,X,XX,,XXX,130,-137.5,,137.5,137.5,X,XX,,XXX,137.5,303.1,,,,
Mike Stanchfield,MN,M,B,,Masters 45-49,177.5,181,X,XX,,XXX,130,140,,147.5,147.5,X,XX,,XXX,147.5,325.2,,,,
Chris Walter,NE,M,B,,Masters 40-44,205,220,X,XX,,XXX,200,-207.5,,207.5,210,210,X,,XX,XXX,210,463,,,
Jeremey Meyer,NE,M,B,,Submasters 35-39,PFM,220,242,X,,XX,XXX,190,,195,-200,195,X,,XX,XXX,195,429.9,,,
Clayton Boeke,IA,M,B,,Teen 14-15,235.5,242,X,XX,,XXX,125,135,,-142.5,135,X,XX,,XXX,135,297.6,,,,
John Probasco,NE,M,B,,Masters 50-54,241.5,242,X,XX,,XXX,152.5,155,,0,155,X,XX,,XXX,155,341.7,,,,
Michael Madigan,CO,M,B,,Masters 55-59,294,308,X,XX,,XXX,155,-170,,-170,155,X,XX,,XXX,155,341.7,,,,
Marni Frandson,NE,F,D,,Open,35-39,103,105,X,,XX,XXX,X,,XX,XXX,0,80,,87.5,97.5,97.5,214.9,,,
Mike Stanchfield,MN,M,D,,Masters 45-49,177.5,181,X,XX,,XXX,X,XX,,XXX,0,170,185,,200,200,440.9,,,,
Gary Wallace,NE,M,D,,Submasters 35-39,194.5,198,X,XX,,XXX,X,XX,,XXX,0,215,227.5,,235,235,518.1,,,,
Jay Petersen,NE,M,D,,Open,197,198,X,XX,,XXX,X,XX,,XXX,0,267.5,277.5,,282.5,282.5,622.8,,,,
Brian Tippery,IA,M,D,,Masters 45-49,242,242,X,XX,,XXX,X,XX,,XXX,0,165,182.5,,200,200,440.9,,,,
August Yoder,NE,M,BD,,Teen 16-17,165,165,X,XX,,XXX,105,110,,-115,110,165,177.5,,-187.5,287.5,633.8,,,,
Jake Garner,NE,M,BD,,Juniors 20-24,162.5,165,X,XX,,XXX,105,110,,115,115,165,177.5,,190,305,672.4,,,,
Ronnie Powell,NE,M,BD,,Masters 65-69,164,165,X,XX,,XXX,107.5,117.5,,117.5,202.5,320,705.5,,,,,,,,
Rickey Nelsen,SD,M,BD,,Open,155.5,165,X,XX,,XXX,120,132.5,,-140,132.5,150,170,,-180,302.5,666.9,,,,
Eddie Ortiz Jr,NE,M,BD,,Masters 45-49,177.5,181,X,XX,,XXX,125,130,,-137.5,130,165,182.5,,197.5,327.5,722,,,,
Seth Heywood,NE,M,BD,,Submasters 35-39,190,198,X,XX,,XXX,125,130,,132.5,132.5,175,182.5,,-187.5,315,694.4,,,,
Tonnie Alliance ,OH,F,SBD,70,Masters 70-74,148,148,(45.0),(45.0),45,40,(47.5),,(47.5),85,102.5,,110,118.5,(122.5),203.5,,448.6,1,1.38,
Alivia Houston ,PA,F,SBD,16,Open,113,114,52.5,57.5,(60.0),30,,33.5,36.5,94,,82.5,90,95,189,,416.7,1,1,1.67,
Alivia Houston ,PA,F,SBD,16,Teen 16-17,113,114,52.5,57.5,(60.0),30,,33.5,36.5,94,,82.5,90,95,189,,416.7,1,1,1.67,
Jesa Jenkins ,OH,F,SBD,25,Open,162,165,(125.0),130,137.5,57.5,62.5,,67.5,205,132.5,,140,(142.5),345,760.6,,1,2.13,,
Jennifer Wieczorek ,PA,F,SBD,45,Open,139,148,55,60,62.5,35,,37.5,40,102.5,,92.5,100,105,207.5,,457.5,1,1,1.5,
Cindy Stritzinger ,PA,F,SBD,41,Open,196,198,100,107.5,112.5,70,,75,(77.5),187.5,,137.5,150,(157.5),337.5,,744.1,1,1,1.72,
Jennifer Wieczorek ,PA,F,SBD,45,Masters 45-49,139,148,55,60,62.5,35,,37.5,40,102.5,,92.5,100,105,207.5,,457.5,1,1,1.5,
Cindy Stritzinger ,PA,F,SBD,41,Masters 40-44,196,198,100,107.5,112.5,70,,75,(77.5),187.5,,137.5,150,(157.5),337.5,,744.1,1,1,1.72,
Donald Piazza ,OH,M,SBD,60,Masters 60-64,160,165,107.5,115,117.5,85,(90.0),,(90.0),202.5,147.5,,155,162.5,365,804.7,,1,2.28,,
Joseph Joseph ,PA,M,SBD,28,Open,188,198,(172.5),187.5,(205.0),147.5,(170.0),,(170.0),335,230,,(260.0),-,565,1,,245.6,1,3.01,
Jeff Lawson,PA,M,SBD,52,Open,273,275,222.5,235,245,130,,137.5,142.5,387.5,,255,265,(275.0),652.5,,1,438.5,1,1,2.39
Jeff Lawson,PA,M,SBD,52,Masters 50-54,273,275,222.5,235,245,130,,137.5,142.5,387.5,,255,265,(275.0),652.5,,1,438.5,1,1,2.39
Tony DiLucente ,OH,M,SBD,58,Masters 55-59,218,220,(170.0),170,175,135,140,,142.5,317.5,202.5,,217.5,(227.5),535,1,,179.5,1,2.45,
Ryan Siege ,PA,M,SBD,28,Open,263,275,160,170,(185.0),(142.5),152.5,,(160.0),322.5,180,,197.5,205,527.5,1,,162.9,2,2.01,
Eric Willow ,NY,M,SBD,47,Open,326,SHW,215,(238.0),(238.0),145,,160,162.5,377.5,,220,237.5,-,615,,1,355.8,1,1,1.89
Denise Jaffe ,OH,F,B,50,Open,120,123,37.5,42.5,45,45,,45,99.2,1,,1,0.38,,,,,,,,
Eric Willow ,NY,M,SBD,47,Masters 45-49,326,SHW,215,(238.0),(238.0),145,,160,162.5,377.5,,220,237.5,-,615,,1,355.8,1,1,1.89
Denise Jaffe ,OH,F,B,50,Masters 50-54,120,123,37.5,42.5,45,45,,45,99.2,1,,1,0.38,,,,,,,,
Cindy Stritzinger ,PA,F,B,41,Masters 40-44,196,198,70,75,(77.5),75,75,,165.3,1,0.38,,,,,,,,,,
Bob Dunn ,OH,M,B,57,Masters 55-59,208,220,90,95,97.5,97.5,97.5,,214.9,2,0.47,,,,,,,,,,
Dale Storch ,OH,M,B,62,Masters 60-64,220,220,132.5,135,137.5,137.5,137.5,,303.1,2,0.63,,,,,,,,,,
Joseph Joseph ,PA,M,B,23,Open,188,198,147.5,(170.0),(170.0),147.5,147.5,,325.2,1,0.79,,,,,,,,,,
Dave Purpura ,OH,M,B,55,Masters 55-59,218,220,110,122.5,(142.5),122.5,122.5,,270.1,1,0.56,,,,,,,,,,
Timothy J. Day ,OH,M,B,60,Masters 60-64,218,220,160,170,177.5,182.5,177.5,,177.5,391.3,1,,0.82,,,,,,,,
Richard Smith,PA,M,B,23,Open,158,165,95,100,102.5,102.5,,102.5,226,1,,1,0.65,,,,,,,,
Richard Smith,PA,M,B,23,Juniors 20-24,158,165,95,100,102.5,102.5,,102.5,226,1,,1,0.65,,,,,,,,
Brad Lovejoy ,OH,M,B,58,Masters55-59,261,275,150,155,(160.0),155,155,,341.7,1,0.59,,,,,,,,,,
Aaron Morman ,OH,M,B,34,Open,339,SHW,217.5,235,(240.0),235,235,,518.1,1,0.69,,,,,,,,,,
Dave Heintzel ,PA,M,D,55,Open,176,181,-,185,200,207.5,,207.5,457.5,1,,1,1.18,,,,,,,,
Dave Heintzel ,PA,M,D,55,Masters 55-59,176,181,-,185,200,207.5,,207.5,457.5,1,,1,1.18,,,,,,,,
Jeff Lawson ,OH,M,D,52,Masters 50-54,273,275,-,255,265,(275.0),-,,265,584.2,1,,0.97,,,,,,,,
Mandy Jo Deckard ,OH,F,D,36,Submasters 35-39,226,198+,-,142.5,157.5,(162.5),157.5,,347.2,1,0.7,,,,,,,,,,
Joseph Joseph ,PA,M,D,23,Open,188,198,230,(260.0),-,230,507.1,,1,1.23,,,,,,,,,,,
Anthony Pfenninger ,OH,M,D,28,Open,196,198,-,110,115,135,135,,297.6,2,0.69,,,,,,,,,,
Tonnie Alliance ,OH,F,BD,70,Masters 70-74,148,148,40,(47.5),(47.5),-,40,,102.5,110,118.5,,(122.5),158.5,349.4,1,,1.07,,,
Charles Barth ,IL,M,BD,15,Teen14-15,198,198,57.5,65,70,70,120,,137.5,147.5,217.5,,479.5,1,1.1,,,,,,
Tony DiLucente ,OH,M,BD,58,Masters 55-59,218,220,135,140,142.5,142.5,202.5,,217.5,(227.5),360,,793.7,1,1.65,,,,,,
Aaron Morman ,OH,M,BD,34,Open,339,SHW,217.5,235,(240.0),-,235,,262.5,300,(320.0),,535,1,179.5,1,,1.58,,,
Jill Neziri,NY,F,SBD,32,Open,100.531,105,,67.5,148.812,45,,99.208,90,198.416,202.5,,446.436,,,,,,,,
Amy Smith,PA,F,SBD,40,Masters 40-44,113.979,114,,62.5,137.789,55,,121.254,70,154.324,187.5,,413.367,,,,,,,,
Miranda Chambers,PA,F,SBD,16,Open,121.475,123,120,264.555,77.5,,170.858,145,319.67,342.5,,755.083,,,,,,,,,
Miranda Chambers,PA,F,SBD,16,Teen 16-17,121.475,123,120,264.555,77.5,,170.858,145,319.67,342.5,,755.083,,,,,,,,,
Patrys Garcia-Gonzalez,PA,F,SBD,34,Open,118.609,123,,85,187.393,42.5,,93.696,107.5,236.997,235,,518.086,,,,,,,,
Genevieve Cohen,PA,F,SBD,22,Open,129.852,132,120,264.555,65,,143.3,137.5,303.136,322.5,,710.991,,,,,,,,,
Briana Foster,PA,F,SBD,24,Open,128.97,132,107.5,236.997,,62.5,137.789,137.5,303.136,,307.5,677.922,,,,,,,,,
Sarah Sickert,PA,F,SBD,20,Open,132.277,132,85,187.393,,57.5,126.766,127.5,281.089,,270,595.248,,,,,,,,,
Genevieve Cohen,PA,F,SBD,22,Juniors 20-24,129.852,132,120,264.555,65,,143.3,137.5,303.136,322.5,,710.991,,,,,,,,,
Briana Foster,PA,F,SBD,24,Juniors 20-24,128.97,132,107.5,236.997,,62.5,137.789,137.5,303.136,,307.5,677.922,,,,,,,,,
Sarah Sickert,PA,F,SBD,20,Juniors 20-24,132.277,132,85,187.393,,57.5,126.766,127.5,281.089,,270,595.248,,,,,,,,,
Sage Rush,PA,F,SBD,23,Juniors 20-24,130.734,132,,87.5,192.904,47.5,,104.72,117.5,259.043,252.5,,556.667,,,,,,,,
Jane Bickel,PA,F,SBD,55,Masters 55-59,124.341,132,,72.5,159.835,40,,88.185,110,242.508,222.5,,490.528,,,,,,,,
Alicia Haynes,MD,F,SBD,28,Open,146.387,148,,120,264.555,57.5,,126.766,150,330.693,327.5,,722.014,,,,,,,,
Sheri Patterson,PA,F,SBD,39,Open,143.521,148,,80,176.37,57.5,,126.766,117.5,259.043,255,,562.179,,,,,,,,
Nyela Herrandez,PA,F,SBD,12,Youth 12-13,137.128,148,,67.5,148.812,37.5,,82.673,97.5,214.951,202.5,,446.436,,,,,,,,
Madison Hendricks,PA,F,SBD,17,Teen 16-17,140.434,148,102.5,,225.974,47.5,104.72,,145,319.67,295,650.364,,,,,,,,,
Rosalie Hutson,PA,F,SBD,20,Juniors 20-24,144.403,148,,117.5,259.043,57.5,,126.766,142.5,314.159,317.5,,699.968,,,,,,,,
Colby Neubauer,PA,F,SBD,30,Open,155.646,165,,125,275.578,70,,154.324,147.5,325.182,342.5,,755.084,,,,,,,,
Kim Doutt,PA,F,SBD,55,Open,172.181,181,90,198.416,,70,154.324,117.5,259.043,,277.5,611.783,,,,,,,,,
Kim Doutt,PA,F,SBD,55,Masters 55-59,172.181,181,90,198.416,,70,154.324,117.5,259.043,,277.5,611.783,,,,,,,,,
Lindsey King,NY,F,SBD,34,Open,175.488,181,,90,198.416,52.5,,115.743,130,286.601,272.5,,600.76,,,,,,,,
Emma Thomas,PA,F,SBD,15,Open,181.22,181,100,220.462,,45,99.208,110,242.508,,255,562.178,,,,,,,,,
Emma Thomas,PA,F,SBD,15,Teen 14-15,181.22,181,100,220.462,,45,99.208,110,242.508,,255,562.178,,,,,,,,,
Lisa Smith,PA,F,SBD,44,Masters 40-44,181.44,181,,110,242.508,75,,165.347,107.5,236.997,292.5,,644.852,,,,,,,,
Rebecca Tucker,NY,F,SBD,33,Open,198.416,198,135,,297.624,90,198.416,,170,374.786,395,870.826,,,,,,,,,
Joni Talavera,PA,F,SBD,34,Open,186.291,198,,85,187.393,52.5,,115.743,102.5,225.974,240,,529.11,,,,,,,,
Gary Teeter,PA,M,SBD,51,Masters 50-54,131.836,132,,115,253.532,107.5,,236.997,142.5,314.159,365,,804.688,,,,,,,,
Chris Ferranti,VA,M,SBD,27,Open,147.048,148,,185,407.855,127.5,,281.089,235,518.086,547.5,,1207.03,,,,,,,,
Bradley Gabin,PA,M,SBD,21,Open,142.86,148,145,319.67,,105,231.485,185,407.855,,435,959.011,,,,,,,,,
Bradley Gabin,PA,M,SBD,21,Juniors 20-24,142.86,148,145,319.67,,105,231.485,185,407.855,,435,959.011,,,,,,,,,
Paul Griffith,PA,M,SBD,70,Masters 70-74,146.828,148,,132.5,292.112,65,,143.3,142.5,314.159,340,,749.571,,,,,,,,
Kevin Pataky,PA,M,SBD,30,Open,163.142,165,,197.5,435.413,125,,275.578,257.5,567.69,580,,1278.681,,,,,,,,
Adam Toroniewski,PA,M,SBD,26,Open,163.803,165,,180,396.832,122.5,,270.066,227.5,501.552,530,,1168.45,,,,,,,,
Britt Steele,NJ,M,SBD,33,Open,162.922,165,,-,0-,0,,0,0,---,0,,,,,,,,,,
Dan Ferranti,PA,M,SBD,23,Juniors 20-24,162.481,165,,147.5,325.182,125,,275.578,200,440.925,472.5,,1041.685,,,,,,,,
Michael Frey,NY,M,SBD,56,Masters 55-59,162.701,165,137.5,,303.136,110,242.508,,160,352.74,407.5,898.384,,,,,,,,,
Joe Orengia,PA,M,SBD,70,Open,178.795,181,132.5,292.112,,95,209.439,190.5,419.981,,418,921.532,,,,,,,,,
Joe Orengia,PA,M,SBD,70,Masters 70-74,178.795,181,132.5,292.112,,95,209.439,190.5,419.981,,418,921.532,,,,,,,,,
Chandler Sanchez,PA,M,SBD,16,Teen 16-17,166.669,181,170,,374.786,132.5,292.112,,200,440.925,502.5,1107.823,,,,,,,,,
Charles Courtney,PA,M,SBD,22,Juniors 20-24,180.338,181,,210,462.971,137.5,,303.136,240,529.109,587.5,,1295.216,,,,,,,,
Jared Frey,NY,M,SBD,20,Juniors 20-24,180.779,181,,142.5,314.159,105,,231.485,200,440.925,447.5,,986.569,,,,,,,,
Jim Smith,PA,M,SBD,39,Sub-Masters 35-39,179.236,181,,185,407.855,112.5,,248.02,190,418.878,487.5,,1074.753,,,,,,,,
Terry Hendricks,PA,M,SBD,51,Masters 50-54,172.622,181,,132.5,292.112,92.5,,203.928,187.5,413.367,412.5,,909.407,,,,,,,,
Russell McGrail-Cox,MD,M,SBD,25,Open,193.786,198,,227.5,501.552,152.5,,336.205,240,529.109,620,,1366.866,,,,,,,,
Don Kuhns,PA,M,SBD,64,Open,197.314,198,165,363.763,,122.5,270.066,220,485.017,,507.5,1118.846,,,,,,,,,
Don Kuhns,PA,M,SBD,64,Masters 60-64,197.314,198,165,363.763,,122.5,270.066,220,485.017,,507.5,1118.846,,,,,,,,,
Oren Kramek,NY,M,SBD,33,Open,192.684,198,,165,363.763,112.5,,248.02,215,473.994,492.5,,1085.777,,,,,,,,
Joseph Bowen,PA,M,SBD,33,Open,195.55,198,,120,264.555,87.5,,192.904,155,341.717,362.5,,799.176,,,,,,,,
Abed Abu-Sakoot,VA,M,SBD,31,Open,217.376,220,,252.5,556.667,170,,374.786,302.5,666.898,725,,1598.351,,,,,,,,
Nick Sutton,PA,M,SBD,18,Open,206.132,220,185,407.855,,115,253.532,217.5,479.505,,517.5,1140.892,,,,,,,,,
Nick Sutton,PA,M,SBD,18,Teen 18-19,206.132,220,185,407.855,,115,253.532,217.5,479.505,,517.5,1140.892,,,,,,,,,
Adam Greeley,PA,M,SBD,39,Open,216.494,220,,0,0,---,---,,0,0,---,---,,,,,,,,,
Robert Robinson,PA,M,SBD,23,Juniors 20-24,212.526,220,,202.5,446.436,135,,297.624,237.5,523.598,575,,1267.658,,,,,,,,
Ray Reese,PA,M,SBD,40,Masters 40-44,216.935,220,,197.5,435.413,157.5,,347.228,230,507.063,585,,1289.704,,,,,,,,
Mark Devlin,NJ,M,SBD,53,Masters 50-54,215.612,220,,170,374.786,---,---,,---,---,---,---,,,,,,,,,
Robert Ludwig,PA,M,SBD,56,Masters 55-59,218.037,220,,217.5,479.505,160.5,,353.842,245,540.133,623,,1373.48,,,,,,,,
Rob Eckhart,PA,M,SBD,43,Open,240.965,242,197.5,435.413,,185,407.855,230,507.063,,612.5,1350.331,,,,,,,,,
Rob Eckhart,PA,M,SBD,43,Masters 40-44,240.965,242,197.5,435.413,,185,407.855,230,507.063,,612.5,1350.331,,,,,,,,,
Nick Cataldi,PA,M,SBD,17,Teen 16-17,237.658,242,,275,606.271,157.5,,347.228,272.5,600.76,705,,1554.259,,,,,,,,
Theo Vlahos,NJ,M,SBD,18,Teen 18-19,233.249,242,,200,440.925,115,,253.532,215,473.994,530,,1168.451,,,,,,,,
Kyle Schuster,PA,M,SBD,22,Open,251.547,275,280,617.294,,190,418.878,272.5,600.76,,742.5,1636.932,,,,,,,,,
Kyle Schuster,PA,M,SBD,22,Juniors 20-24,251.547,275,280,617.294,,190,418.878,272.5,600.76,,742.5,1636.932,,,,,,,,,
Drew Mawson,NJ,M,SBD,25,Open,270.948,275,,250,551.156,162.5,,358.251,245,540.133,657.5,,1449.54,,,,,,,,
James Prendergast,NY,M,SBD,54,Masters 50-54,255.957,275,,165,363.763,122.5,,270.066,190,418.878,477.5,,1052.707,,,,,,,,
Raymond Clasing,MD,M,SBD,56,Masters 55-59,272.05,275,,175,385.809,170,,374.786,205,451.948,550,,1212.543,,,,,,,,
Troy Dugan,PA,M,SBD,25,Open,296.963,308,,267.5,589.737,130,,286.601,262.5,578.713,660,,1455.051,,,,,,,,
David Biesecker,PA,M,SBD,34,Open,277.782,308,,220,485.017,160,,352.74,235,518.086,615,,1355.843,,,,,,,,
Sarah Sickert,PA,F,B,20,Juniors 20-24,132.277,132,,52.5,55,57.5,,---,---,57.5,126.766,,49.6053,,,,,,,,
Bre Schneider,PA,F,B,23,Juniors 20-24,180.118,181,,57.5,62.5,65,,---,---,65,143.3,,43.914,,,,,,,,
Kim Doutt,PA,F,B,55,Masters 55-59,172.181,181,,65,70,-72.5,,---,---,70,154.324,,48.832,,,,,,,,
Nick Oddo,PA,M,B,27,Open,132.057,132,,47.5,-52.5,-52.5,,---,---,47.5,104.72,,38.6935,,,,,,,,
Bradley Gabin,PA,M,B,21,Juniors 20-24,142.86,148,,92.5,100,105,,---,---,105,231.485,,79.044,,,,,,,,
Chris Spairanna,PA,M,B,41,Masters 40-44,163.142,165,,60,67.5,72.5,,---,---,72.5,159.835,,48.72,,,,,,,,
Kevin Boyer,PA,M,B,42,Open,165.567,181,,82.5,87.5,95,,---,---,95,209.439,,62.928,,,,,,,,
Vinnie Gengaro,NJ,M,B,61,Masters 60-64,178.574,181,,112.5,120,125,,---,---,125,275.578,,78.2875,,,,,,,,
Joe Orengia,PA,M,B,70,Masters 70-74,178.795,181,,87.5,92.5,95,,---,---,95,209.439,,59.4985,,,,,,,,
Jeff McDaniel,PA,M,B,34,Open,196.652,198,,187.5,-197.5,-197.5,,---,---,187.5,413.367,,110.2313,,,,,,,,
Randy Elbert,MD,M,B,46,Open,196.211,198,145,150,,155,---,---,155,,341.717,91.4035,,,,,,,,,
Jim McKenna,PA,M,B,67,Open,196.432,198,142.5,-145,,-145,---,---,142.5,,314.159,84.0323,,,,,,,,,
Randy Elbert,MD,M,B,46,Masters 45-49,196.211,198,145,150,,155,---,---,155,,341.717,91.4035,,,,,,,,,
Jim McKenna,PA,M,B,67,Masters 65-69,196.432,198,142.5,-145,,-145,---,---,142.5,,314.159,84.0323,,,,,,,,,
Pat Clarke,PA,M,B,35,Submasters 35-39,192.464,198,,122.5,127.5,132.5,,---,---,132.5,292.112,,79.1555,,,,,,,,
Craig Maurer,PA,M,B,63,Masters 60-64,187.393,198,,57.5,62.5,67.5,,---,---,67.5,148.812,,41.0198,,,,,,,,
Danny Clarke,PA,M,B,27,Open,207.455,220,,-142.5,142.5,-147.5,,---,---,142.5,314.159,,81.3675,,,,,,,,
Donnie Laudenslager,PA,M,B,22,Juniors 20-24,217.155,220,,60,70,-77.5,,---,---,70,154.324,,39.032,,,,,,,,
Rob Eckhart,PA,M,B,43,Open,240.965,242,,175,185,-195,,---,---,185,407.855,,99.4745,,,,,,,,
Andrew Norris,DE,M,B,30,Open,265.877,275,187.5,,192.5,195,---,,---,195,429.901,102.453,,,,,,,,,
David Biesecker,PA,M,B,34,Open,277.782,308,,160,-185,-185,,---,---,160,352.74,,83.152,,,,,,,,
Vaughn Maldfeld,NY,M,B,75,Masters 75-79,278.664,308,,60,67.5,72.5,,---,---,72.5,159.835,,37.642,,,,,,,,
Linda Strong-Denerly,NY,F,D,45,Masters 45-49,111.554,114,,52.5,60,65,,---,---,65,143.3,,64.298,,,,,,,,
Alicia Haynes,MD,F,D,28,Open,146.387,148,,150,-165,-165,,---,---,150,330.693,,118.965,,,,,,,,
Kim Doutt,PA,F,D,55,Masters 55-59,172.181,181,,110,115,117.5,,---,---,117.5,259.043,,81.968,,,,,,,,
Nick Oddo,PA,M,D,27,Open,132.057,132,,70,80,87.5,,---,---,87.5,192.904,,71.2775,,,,,,,,
Chris Spairanna,PA,M,D,41,Masters 40-44,163.142,165,,125,137.5,145,,---,---,145,319.67,,97.44,,,,,,,,
Gleb Epelbaum,PA,M,D,36,Open,178.354,181,,250,275,280,,---,---,280,617.294,,176.064,,,,,,,,
Vinnie Gengaro,NJ,M,D,61,Masters 60-64,178.574,181,,160,172.5,-182.5,,---,---,172.5,380.297,,108.0368,,,,,,,,
Joe Orengia,PA,M,D,70,Masters 70-74,178.795,181,,170,182.5,190.5,,---,---,190.5,419.981,,119.3102,,,,,,,,
Terry McCarthy,PA,M,D,52,Masters 50-54,188.275,198,,127.5,137.5,140,,---,---,140,308.647,,84.784,,,,,,,,
Craig Maurer,PA,M,D,63,Masters 60-64,187.393,198,,100,110,115,,---,---,115,253.532,,69.8855,,,,,,,,
Donnie Laudenslager,PA,M,D,22,Juniors 20-24,217.155,220,,115,125,132.5,,---,---,132.5,292.112,,73.882,,,,,,,,
Derek Neubauer,PA,M,D,34,Open,240.083,242,,227.5,-240,-240,,---,---,227.5,501.552,,122.4405,,,,,,,,
Bob Feeney,PA,M,D,63,Masters 60-64,258.602,275,,180,192.5,195,,---,---,195,429.901,,103.077,,,,,,,,
Vaughn Maldfeld,NY,M,D,75,Masters 75-79,278.664,308,,105,115,127.5,,---,---,127.5,281.089,,66.198,,,,,,,,
Megan Lieu,VA,F,SBD,20,Juniors 20-24,114.2,114,,95,40,125,,260,,,,,,,,,,,,,
Natasha Beasley,VA,F,SBD,33,Open,114.1,114,,87.5,67.5,142.5,,297.5,,,,,,,,,,,,,
Toni Herrmann,VA,F,SBD,27,Open,121.1,123,,117.5,60,120,,297.5,,,,,,,,,,,,,
Beth Permelia,VA,F,SBD,50,Masters 50-54,123.2,123,,52.5,42.5,117.5,,212.5,,,,,,,,,,,,,
Lisa Suda,VA,F,SBD,27,Open,131.2,132,,140,67.5,157.5,,365,,,,,,,,,,,,,
Caitlin Ivey,VA,F,SBD,22,Juniors 20-24,143.4,148,,102.5,40,140,,282.5,,,,,,,,,,,,,
Deeanna Burnah,MD,F,SBD,30,P/F/M,138.6,148,,67.5,67.5,92.5,,227.5,,,,,,,,,,,,,
Kristi Rowley,VA,F,SBD,31,Open,180.4,165,,125,50,135,,310,,,,,,,,,,,,,
Charlotte Baker,VA,F,SBD,48,Open,198.1,198,105,70,,165,340,,,,,,,,,,,,,,
Charlotte Baker,VA,F,SBD,48,Masters 45-49,198.1,198,105,70,,165,340,,,,,,,,,,,,,,
Robin Callan,VA,F,SBD,25,Open,241,198+,,157.5,70,157.5,,385,,,,,,,,,,,,,
Drew Meincke,VA,M,SBD,37,Submasters 35-39,129.4,132,,50,57.5,122.5,,230,,,,,,,,,,,,,
Jim Marchio,VA,M,SBD,60,Masters 60-64,130.2,132,,117.5,90,197.5,,405,,,,,,,,,,,,,
Luis Ardon,VA,M,SBD,24,Open,145.8,148,,172.5,145,212.5,,530,,,,,,,,,,,,,
Oscar Joya,VA,M,SBD,17,Teen 16-17,148.14,148,,155,110,182.5,,447.5,,,,,,,,,,,,,
John Senesky,VA,M,SBD,16,Teen 16-17,145.12,148,,117.5,75,110,,302.5,,,,,,,,,,,,,
Jeff Kline,VA,M,SBD,33,Open,162,165,,145,122.5,182.5,,450,,,,,,,,,,,,,
Jason Bumgarner,VA,M,SBD,32,Open,155.1,165,,155,107.5,177.5,,440,,,,,,,,,,,,,
Ryan Coffey,PA,M,SBD,19,Teen 18-19,162.14,165,,200,142.5,245,,587.5,,,,,,,,,,,,,
Eric Williams,VA,M,SBD,19,Teen 18-19,161.8,165,,175,117.5,182.5,,475,,,,,,,,,,,,,
John Permelia,VA,M,SBD,53,Masters 50-54,163.2,165,,137.5,120,175,,432.5,,,,,,,,,,,,,
Anil Singh,VA,M,SBD,24,Open,178.12,181,,160,117.5,227.5,,505,,,,,,,,,,,,,
Chase Davidison,VA,M,SBD,19,Teen 18-19,168.8,181,,130,85,185,,400,,,,,,,,,,,,,
Ryan Kiecker,VA,M,SBD,24,Juniors 20-24,179.8,181,,227.5,162.5,272.5,,662.5,,,,,,,,,,,,,
Anthony Permelia,VA,M,SBD,24,Juniors 20-24,181.1,181,,125,85,182.5,,392.5,,,,,,,,,,,,,
Marquell Snowden,VA,M,SBD,42,Masters 40-44,186.1,198,,145,130,200,,475,,,,,,,,,,,,,
Luke Siler,VA,M,SBD,30,Open,199.1,220,,190,135,207.5,,532.5,,,,,,,,,,,,,
Jeremy Ebersole,WV,M,SBD,24,Juniors 20-24,195.1,198,,215,137.5,272.5,,625,,,,,,,,,,,,,
Edgar Tapia,VA,M,SBD,37,Submasters 35-39,196.4,198,,190,130,237.5,,557.5,,,,,,,,,,,,,
Matthew Holtry,NC,M,SBD,37,Submasters 35-39,195.1,198,,162.5,112.5,235,,510,,,,,,,,,,,,,
Chris Solyom,VA,M,SBD,33,Open,235.1,242,,172.5,125,250,,547.5,,,,,,,,,,,,,
Joe Saad,VA,M,SBD,22,Juniors 20-24,238.4,242,,227.5,147.5,247.5,,622.5,,,,,,,,,,,,,
Colin McGrath,VA,M,SBD,21,Open,261.2,275,,240,172.5,272.5,,685,,,,,,,,,,,,,
Maxx Philpott,VA,M,SBD,15,Teen 14-15,266.4,275,,187.5,125,182.5,,495,,,,,,,,,,,,,
DJ Stinson,VA,M,SBD,40,Masters 40-44,267.8,275,,192.5,160,227.5,,580,,,,,,,,,,,,,
Ken McCusker,MD,M,SBD,46,Masters 45-49,274.6,275,,102.5,137.5,195,,435,,,,,,,,,,,,,
